application_date,decision_date,processing_days,normalized_processing,application_month,application_year,country_Canada,country_Germany,country_India,country_UK,country_USA,visa_type_Dependent,visa_type_Student,visa_type_Tourist,visa_type_Work,processing_office_Delhi,processing_office_London,processing_office_New York,processing_office_Sydney,processing_office_Toronto,season_Spring,season_Summer,season_Winter,risk_Low Delay
2024-11-23,2024-12-12,19,-1.2865225725270515,11,2024,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
2024-04-24,2024-05-16,22,-1.1980226712183675,4,2024,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
2024-10-06,2024-10-22,16,-1.3750224738357357,10,2024,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2024-01-16,2024-02-01,16,-1.3750224738357357,1,2024,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True
2024-11-04,2024-11-12,8,-1.6110222106588934,11,2024,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2024-11-28,2025-03-02,94,0.9259749601900522,11,2024,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2024-08-17,2024-11-05,80,0.5129754207495262,8,2024,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2024-12-23,2025-02-20,59,-0.10652388841126292,12,2024,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True
2024-04-20,2024-07-31,102,1.1619746970132099,4,2024,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
2024-07-13,2024-07-30,17,-1.3455225067328411,7,2024,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
2024-05-15,2024-08-31,108,1.3389744996305781,5,2024,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2024-03-04,2024-04-26,53,-0.28352369102863123,3,2024,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
2024-11-17,2025-02-09,84,0.630975289161105,11,2024,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2024-12-26,2025-01-08,13,-1.46352237514442,12,2024,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True
2024-02-10,2024-06-03,114,1.5159743022479466,2,2024,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False
2024-05-22,2024-07-24,63,0.011475980000315947,5,2024,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
2024-07-08,2024-08-27,50,-0.37202359233731536,7,2024,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True
2024-12-15,2025-03-12,87,0.7194751904697891,12,2024,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
2024-03-28,2024-06-09,73,0.3064756510292631,3,2024,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
2024-08-24,2024-10-16,53,-0.28352369102863123,8,2024,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True
2024-12-16,2025-01-31,46,-0.49002346074889425,12,2024,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True
2024-06-10,2024-08-05,56,-0.19502378971994708,6,2024,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True
2024-10-17,2025-02-11,117,1.6044742035566306,10,2024,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
2024-12-01,2025-02-07,68,0.15897581551478954,12,2024,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2024-05-15,2024-06-06,22,-1.1980226712183675,5,2024,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
2024-05-14,2024-08-22,100,1.1029747628074205,5,2024,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2024-07-23,2024-09-12,51,-0.34252362523442065,7,2024,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2024-09-09,2024-09-25,16,-1.3750224738357357,9,2024,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
2024-11-17,2024-12-12,25,-1.1095227699096832,11,2024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-02-02,2024-03-27,54,-0.2540237239257365,2,2024,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True
2024-09-27,2024-11-03,37,-0.7555231646749467,9,2024,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
2024-02-28,2024-05-30,92,0.8669750259842627,2,2024,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2024-06-23,2024-07-12,19,-1.2865225725270515,6,2024,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
2024-08-20,2024-08-25,5,-1.6995221119675776,8,2024,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
2024-04-01,2024-06-09,69,0.18847578261768425,4,2024,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
2024-09-16,2024-12-07,82,0.5719753549553156,9,2024,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False
2024-03-23,2024-06-05,74,0.3359756181321578,3,2024,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
